"partei_label","n_train","train_mean","train_sd","train_med","n_imp","imp_mean","imp_med","target","gap_mean","flag_drift","flag_signflip"
"AfD",27,1.39254190857858,0.358084829227764,1.37393212595742,48,1.40685159141319,1.47518501528906,"econ_lr_score",0.014309682834601,FALSE,FALSE
"CDU/CSU",10,0.673684104299164,0.449574291915167,0.538920878258143,21,0.309730009252512,0.14422244016071,"econ_lr_score",-0.363954095046652,FALSE,FALSE
"FDP",35,0.41667603736466,0.301390438760902,0.391362816424932,42,0.310944143138121,0.29324787845314,"econ_lr_score",-0.105731894226539,FALSE,FALSE
"GRUENE",70,-0.508596156604496,0.260804323935541,-0.545487810269691,89,-0.486889798393845,-0.514742482002475,"econ_lr_score",0.0217063582106515,FALSE,FALSE
"LINKE",47,-0.680365288839063,0.301348183562672,-0.737425657712665,48,-0.668873857042519,-0.640254401721885,"econ_lr_score",0.0114914317965444,FALSE,FALSE
"SPD",34,-0.456077160480766,0.278706204002939,-0.408342212255687,46,-0.421058624892749,-0.472096270655359,"econ_lr_score",0.0350185355880169,FALSE,FALSE
"AfD",27,1.09067252806303,0.407792421738788,1.09528246642836,48,0.941499599292423,0.929638127436915,"anti_elite_score",-0.149172928770608,FALSE,FALSE
"CDU/CSU",10,-0.421534915874654,0.372010620359955,-0.569448056100756,21,-0.206328472023573,-0.176196076003261,"anti_elite_score",0.215206443851081,FALSE,FALSE
"FDP",35,-0.156625985180371,0.45227457123322,-0.16221466880809,42,-0.12093727675032,-0.117269879886667,"anti_elite_score",0.035688708430051,FALSE,FALSE
"GRUENE",70,-0.0983103949808676,0.36533403057397,-0.116431368395261,89,-0.1256567684247,-0.166643124202124,"anti_elite_score",-0.0273463734438329,FALSE,FALSE
"LINKE",47,0.603449241303224,0.486805872220095,0.62578106967602,48,0.460591703482445,0.542639998326774,"anti_elite_score",-0.142857537820779,FALSE,FALSE
"SPD",34,-0.355050335459153,0.418629235242894,-0.427245368268203,46,-0.320556614859872,-0.299323910302447,"anti_elite_score",0.0344937205992808,FALSE,FALSE
