year,party_label,eastwest,n,share_present
2013,AfD,East,18,0.8333333333333334
2013,AfD,West,140,0.5785714285714286
2013,CDU,East,62,0.5161290322580645
2013,CDU,West,237,0.48945147679324896
2013,DIE LINKE,East,62,0.8225806451612904
2013,DIE LINKE,West,236,0.8050847457627118
2013,FDP,East,62,0.6935483870967742
2013,FDP,West,236,0.6991525423728814
2013,GRÜNE,East,62,0.8870967741935484
2013,GRÜNE,West,237,0.8481012658227848
2013,SPD,East,62,0.8064516129032258
2013,SPD,West,237,0.810126582278481
2017,AfD,East,59,0.4915254237288136
2017,AfD,West,227,0.43171806167400884
2017,CDU,East,61,0.32786885245901637
2017,CDU,West,238,0.2815126050420168
2017,DIE LINKE,East,61,0.6229508196721312
2017,DIE LINKE,West,237,0.6413502109704642
2017,FDP,East,61,0.6229508196721312
2017,FDP,West,238,0.6596638655462185
2017,GRÜNE,East,61,0.7540983606557377
2017,GRÜNE,West,237,0.7637130801687764
2017,SPD,East,61,0.5901639344262295
2017,SPD,West,238,0.5714285714285714
2021,AfD,East,61,0.3770491803278688
2021,AfD,West,232,0.3577586206896552
2021,CDU,East,61,0.26229508196721313
2021,CDU,West,238,0.3025210084033613
2021,DIE LINKE,East,61,0.6229508196721312
2021,DIE LINKE,West,235,0.5148936170212766
2021,FDP,East,61,0.4426229508196721
2021,FDP,West,238,0.48739495798319327
2021,GRÜNE,East,61,0.7540983606557377
2021,GRÜNE,West,238,0.6890756302521008
2021,SPD,East,61,0.5081967213114754
2021,SPD,West,238,0.4411764705882353
